dataset,client_id,matrix_type,neighbor_type,class_coverage
NSLKDD,34,random,topn,5
NSLKDD,34,random,random_n,5
NSLKDD,35,random,topn,5
NSLKDD,35,random,random_n,5
NSLKDD,36,random,topn,4
NSLKDD,36,random,random_n,5
NSLKDD,37,random,topn,5
NSLKDD,37,random,random_n,4
NSLKDD,38,random,topn,5
NSLKDD,38,random,random_n,4
NSLKDD,39,random,topn,4
NSLKDD,39,random,random_n,5
NSLKDD,40,random,topn,4
NSLKDD,40,random,random_n,4
NSLKDD,41,random,topn,5
NSLKDD,41,random,random_n,5
NSLKDD,42,random,topn,5
NSLKDD,42,random,random_n,5
NSLKDD,43,random,topn,5
NSLKDD,43,random,random_n,5
NSLKDD,44,random,topn,5
NSLKDD,44,random,random_n,5
NSLKDD,45,random,topn,5
NSLKDD,45,random,random_n,5
NSLKDD,46,random,topn,5
NSLKDD,46,random,random_n,4
NSLKDD,47,random,topn,5
NSLKDD,47,random,random_n,5
NSLKDD,48,random,topn,4
NSLKDD,48,random,random_n,3
NSLKDD,49,random,topn,5
NSLKDD,49,random,random_n,5
NSLKDD,0,label_affinity,topn,3
NSLKDD,0,label_affinity,random_n,5
NSLKDD,1,label_affinity,topn,5
NSLKDD,1,label_affinity,random_n,5
NSLKDD,2,label_affinity,topn,5
NSLKDD,2,label_affinity,random_n,5
NSLKDD,3,label_affinity,topn,5
NSLKDD,3,label_affinity,random_n,5
NSLKDD,4,label_affinity,topn,4
NSLKDD,4,label_affinity,random_n,5
NSLKDD,5,label_affinity,topn,4
NSLKDD,5,label_affinity,random_n,5
NSLKDD,6,label_affinity,topn,4
NSLKDD,6,label_affinity,random_n,5
NSLKDD,7,label_affinity,topn,3
NSLKDD,7,label_affinity,random_n,5
NSLKDD,8,label_affinity,topn,5
NSLKDD,8,label_affinity,random_n,5
NSLKDD,9,label_affinity,topn,5
NSLKDD,9,label_affinity,random_n,5
NSLKDD,10,label_affinity,topn,3
NSLKDD,10,label_affinity,random_n,5
NSLKDD,11,label_affinity,topn,5
NSLKDD,11,label_affinity,random_n,5
NSLKDD,12,label_affinity,topn,5
NSLKDD,12,label_affinity,random_n,4
NSLKDD,13,label_affinity,topn,5
NSLKDD,13,label_affinity,random_n,5
NSLKDD,14,label_affinity,topn,4
NSLKDD,14,label_affinity,random_n,5
NSLKDD,15,label_affinity,topn,4
NSLKDD,15,label_affinity,random_n,5
NSLKDD,16,label_affinity,topn,5
NSLKDD,16,label_affinity,random_n,5
NSLKDD,17,label_affinity,topn,5
NSLKDD,17,label_affinity,random_n,5
NSLKDD,18,label_affinity,topn,5
NSLKDD,18,label_affinity,random_n,5
NSLKDD,19,label_affinity,topn,5
NSLKDD,19,label_affinity,random_n,5
NSLKDD,20,label_affinity,topn,4
NSLKDD,20,label_affinity,random_n,5
NSLKDD,21,label_affinity,topn,5
NSLKDD,21,label_affinity,random_n,5
NSLKDD,22,label_affinity,topn,5
NSLKDD,22,label_affinity,random_n,5
NSLKDD,23,label_affinity,topn,4
NSLKDD,23,label_affinity,random_n,5
NSLKDD,24,label_affinity,topn,1
NSLKDD,24,label_affinity,random_n,5
NSLKDD,25,label_affinity,topn,5
NSLKDD,25,label_affinity,random_n,5
NSLKDD,26,label_affinity,topn,5
NSLKDD,26,label_affinity,random_n,5
NSLKDD,27,label_affinity,topn,5
NSLKDD,27,label_affinity,random_n,5
NSLKDD,28,label_affinity,topn,4
NSLKDD,28,label_affinity,random_n,4
NSLKDD,29,label_affinity,topn,5
NSLKDD,29,label_affinity,random_n,5
NSLKDD,30,label_affinity,topn,3
NSLKDD,30,label_affinity,random_n,5
NSLKDD,31,label_affinity,topn,5
NSLKDD,31,label_affinity,random_n,5
NSLKDD,32,label_affinity,topn,5
NSLKDD,32,label_affinity,random_n,5
NSLKDD,33,label_affinity,topn,5
NSLKDD,33,label_affinity,random_n,5
NSLKDD,34,label_affinity,topn,5
NSLKDD,34,label_affinity,random_n,5
NSLKDD,35,label_affinity,topn,5
NSLKDD,35,label_affinity,random_n,5
NSLKDD,36,label_affinity,topn,5
NSLKDD,36,label_affinity,random_n,5
NSLKDD,37,label_affinity,topn,5
NSLKDD,37,label_affinity,random_n,5
NSLKDD,38,label_affinity,topn,5
NSLKDD,38,label_affinity,random_n,5
NSLKDD,39,label_affinity,topn,4
NSLKDD,39,label_affinity,random_n,4
NSLKDD,40,label_affinity,topn,5
NSLKDD,40,label_affinity,random_n,5
NSLKDD,41,label_affinity,topn,5
NSLKDD,41,label_affinity,random_n,5
NSLKDD,42,label_affinity,topn,4
NSLKDD,42,label_affinity,random_n,5
NSLKDD,43,label_affinity,topn,5
NSLKDD,43,label_affinity,random_n,4
NSLKDD,44,label_affinity,topn,4
NSLKDD,44,label_affinity,random_n,5
NSLKDD,45,label_affinity,topn,5
NSLKDD,45,label_affinity,random_n,5
NSLKDD,46,label_affinity,topn,5
NSLKDD,46,label_affinity,random_n,5
NSLKDD,47,label_affinity,topn,5
NSLKDD,47,label_affinity,random_n,5
NSLKDD,48,label_affinity,topn,5
NSLKDD,48,label_affinity,random_n,5
NSLKDD,49,label_affinity,topn,3
NSLKDD,49,label_affinity,random_n,5
NSLKDD,0,random,topn,5
NSLKDD,0,random,random_n,5
NSLKDD,1,random,topn,5
NSLKDD,1,random,random_n,5
NSLKDD,2,random,topn,5
NSLKDD,2,random,random_n,5
NSLKDD,3,random,topn,5
NSLKDD,3,random,random_n,5
NSLKDD,4,random,topn,5
NSLKDD,4,random,random_n,5
NSLKDD,5,random,topn,3
NSLKDD,5,random,random_n,5
NSLKDD,6,random,topn,4
NSLKDD,6,random,random_n,5
NSLKDD,7,random,topn,5
NSLKDD,7,random,random_n,5
NSLKDD,8,random,topn,5
NSLKDD,8,random,random_n,5
NSLKDD,9,random,topn,4
NSLKDD,9,random,random_n,4
NSLKDD,10,random,topn,5
NSLKDD,10,random,random_n,5
NSLKDD,11,random,topn,5
NSLKDD,11,random,random_n,5
NSLKDD,12,random,topn,5
NSLKDD,12,random,random_n,5
NSLKDD,13,random,topn,5
NSLKDD,13,random,random_n,5
NSLKDD,14,random,topn,5
NSLKDD,14,random,random_n,5
NSLKDD,15,random,topn,5
NSLKDD,15,random,random_n,5
NSLKDD,16,random,topn,5
NSLKDD,16,random,random_n,4
NSLKDD,17,random,topn,5
NSLKDD,17,random,random_n,5
NSLKDD,18,random,topn,5
NSLKDD,18,random,random_n,5
NSLKDD,19,random,topn,5
NSLKDD,19,random,random_n,5
NSLKDD,20,random,topn,5
NSLKDD,20,random,random_n,5
NSLKDD,21,random,topn,4
NSLKDD,21,random,random_n,5
NSLKDD,22,random,topn,4
NSLKDD,22,random,random_n,5
NSLKDD,23,random,topn,1
NSLKDD,23,random,random_n,5
NSLKDD,24,random,topn,5
NSLKDD,24,random,random_n,5
NSLKDD,25,random,topn,5
NSLKDD,25,random,random_n,5
NSLKDD,26,random,topn,5
NSLKDD,26,random,random_n,5
NSLKDD,27,random,topn,5
NSLKDD,27,random,random_n,5
NSLKDD,28,random,topn,5
NSLKDD,28,random,random_n,5
NSLKDD,29,random,topn,5
NSLKDD,29,random,random_n,5
NSLKDD,30,random,topn,5
NSLKDD,30,random,random_n,5
NSLKDD,31,random,topn,5
NSLKDD,31,random,random_n,5
NSLKDD,32,random,topn,4
NSLKDD,32,random,random_n,4
NSLKDD,33,random,topn,5
NSLKDD,33,random,random_n,5
NSLKDD,34,random,topn,5
NSLKDD,34,random,random_n,5
NSLKDD,35,random,topn,5
NSLKDD,35,random,random_n,4
NSLKDD,36,random,topn,4
NSLKDD,36,random,random_n,5
NSLKDD,37,random,topn,5
NSLKDD,37,random,random_n,5
NSLKDD,38,random,topn,5
NSLKDD,38,random,random_n,1
NSLKDD,39,random,topn,4
NSLKDD,39,random,random_n,5
NSLKDD,40,random,topn,4
NSLKDD,40,random,random_n,4
NSLKDD,41,random,topn,5
NSLKDD,41,random,random_n,4
NSLKDD,42,random,topn,5
NSLKDD,42,random,random_n,5
NSLKDD,43,random,topn,5
NSLKDD,43,random,random_n,5
NSLKDD,44,random,topn,5
NSLKDD,44,random,random_n,5
NSLKDD,45,random,topn,5
NSLKDD,45,random,random_n,5
NSLKDD,46,random,topn,5
NSLKDD,46,random,random_n,5
NSLKDD,47,random,topn,5
NSLKDD,47,random,random_n,4
NSLKDD,48,random,topn,4
NSLKDD,48,random,random_n,4
NSLKDD,49,random,topn,5
NSLKDD,49,random,random_n,5
NSLKDD,0,label_affinity,topn,3
NSLKDD,0,label_affinity,random_n,5
NSLKDD,1,label_affinity,topn,5
NSLKDD,1,label_affinity,random_n,4
NSLKDD,2,label_affinity,topn,5
NSLKDD,2,label_affinity,random_n,5
NSLKDD,3,label_affinity,topn,5
NSLKDD,3,label_affinity,random_n,5
NSLKDD,4,label_affinity,topn,4
NSLKDD,4,label_affinity,random_n,5
NSLKDD,5,label_affinity,topn,4
NSLKDD,5,label_affinity,random_n,5
NSLKDD,6,label_affinity,topn,4
NSLKDD,6,label_affinity,random_n,5
NSLKDD,7,label_affinity,topn,3
NSLKDD,7,label_affinity,random_n,5
NSLKDD,8,label_affinity,topn,5
NSLKDD,8,label_affinity,random_n,5
NSLKDD,9,label_affinity,topn,5
NSLKDD,9,label_affinity,random_n,5
NSLKDD,10,label_affinity,topn,3
NSLKDD,10,label_affinity,random_n,5
NSLKDD,11,label_affinity,topn,5
NSLKDD,11,label_affinity,random_n,4
NSLKDD,12,label_affinity,topn,5
NSLKDD,12,label_affinity,random_n,5
NSLKDD,13,label_affinity,topn,5
NSLKDD,13,label_affinity,random_n,5
NSLKDD,14,label_affinity,topn,4
NSLKDD,14,label_affinity,random_n,5
NSLKDD,15,label_affinity,topn,4
NSLKDD,15,label_affinity,random_n,5
NSLKDD,16,label_affinity,topn,5
NSLKDD,16,label_affinity,random_n,4
NSLKDD,17,label_affinity,topn,5
NSLKDD,17,label_affinity,random_n,4
NSLKDD,18,label_affinity,topn,5
NSLKDD,18,label_affinity,random_n,5
NSLKDD,19,label_affinity,topn,5
NSLKDD,19,label_affinity,random_n,5
NSLKDD,20,label_affinity,topn,4
NSLKDD,20,label_affinity,random_n,5
NSLKDD,21,label_affinity,topn,5
NSLKDD,21,label_affinity,random_n,5
NSLKDD,22,label_affinity,topn,5
NSLKDD,22,label_affinity,random_n,5
NSLKDD,23,label_affinity,topn,4
NSLKDD,23,label_affinity,random_n,5
NSLKDD,24,label_affinity,topn,1
NSLKDD,24,label_affinity,random_n,5
NSLKDD,25,label_affinity,topn,5
NSLKDD,25,label_affinity,random_n,5
NSLKDD,26,label_affinity,topn,5
NSLKDD,26,label_affinity,random_n,5
NSLKDD,27,label_affinity,topn,5
NSLKDD,27,label_affinity,random_n,5
NSLKDD,28,label_affinity,topn,4
NSLKDD,28,label_affinity,random_n,5
NSLKDD,29,label_affinity,topn,5
NSLKDD,29,label_affinity,random_n,5
NSLKDD,30,label_affinity,topn,3
NSLKDD,30,label_affinity,random_n,5
NSLKDD,31,label_affinity,topn,5
NSLKDD,31,label_affinity,random_n,5
NSLKDD,32,label_affinity,topn,5
NSLKDD,32,label_affinity,random_n,5
NSLKDD,33,label_affinity,topn,5
NSLKDD,33,label_affinity,random_n,5
NSLKDD,34,label_affinity,topn,5
NSLKDD,34,label_affinity,random_n,5
NSLKDD,35,label_affinity,topn,5
NSLKDD,35,label_affinity,random_n,5
NSLKDD,36,label_affinity,topn,5
NSLKDD,36,label_affinity,random_n,5
NSLKDD,37,label_affinity,topn,5
NSLKDD,37,label_affinity,random_n,4
NSLKDD,38,label_affinity,topn,5
NSLKDD,38,label_affinity,random_n,5
NSLKDD,39,label_affinity,topn,4
NSLKDD,39,label_affinity,random_n,5
NSLKDD,40,label_affinity,topn,5
NSLKDD,40,label_affinity,random_n,5
NSLKDD,41,label_affinity,topn,5
NSLKDD,41,label_affinity,random_n,5
NSLKDD,42,label_affinity,topn,4
NSLKDD,42,label_affinity,random_n,5
NSLKDD,43,label_affinity,topn,5
NSLKDD,43,label_affinity,random_n,5
NSLKDD,44,label_affinity,topn,4
NSLKDD,44,label_affinity,random_n,5
NSLKDD,45,label_affinity,topn,5
NSLKDD,45,label_affinity,random_n,5
NSLKDD,46,label_affinity,topn,5
NSLKDD,46,label_affinity,random_n,5
NSLKDD,47,label_affinity,topn,5
NSLKDD,47,label_affinity,random_n,4
NSLKDD,48,label_affinity,topn,5
NSLKDD,48,label_affinity,random_n,5
NSLKDD,49,label_affinity,topn,3
NSLKDD,49,label_affinity,random_n,5
NSLKDD,0,random,topn,5
NSLKDD,0,random,random_n,5
NSLKDD,1,random,topn,5
NSLKDD,1,random,random_n,4
NSLKDD,2,random,topn,5
NSLKDD,2,random,random_n,5
NSLKDD,3,random,topn,5
NSLKDD,3,random,random_n,5
NSLKDD,4,random,topn,5
NSLKDD,4,random,random_n,5
NSLKDD,5,random,topn,3
NSLKDD,5,random,random_n,5
NSLKDD,6,random,topn,4
NSLKDD,6,random,random_n,5
NSLKDD,7,random,topn,5
NSLKDD,7,random,random_n,5
NSLKDD,8,random,topn,5
NSLKDD,8,random,random_n,5
NSLKDD,9,random,topn,4
NSLKDD,9,random,random_n,5
NSLKDD,10,random,topn,5
NSLKDD,10,random,random_n,5
NSLKDD,11,random,topn,5
NSLKDD,11,random,random_n,4
NSLKDD,12,random,topn,5
NSLKDD,12,random,random_n,5
NSLKDD,13,random,topn,5
NSLKDD,13,random,random_n,4
NSLKDD,14,random,topn,5
NSLKDD,14,random,random_n,4
NSLKDD,15,random,topn,5
NSLKDD,15,random,random_n,5
NSLKDD,16,random,topn,5
NSLKDD,16,random,random_n,5
NSLKDD,17,random,topn,5
NSLKDD,17,random,random_n,4
NSLKDD,18,random,topn,5
NSLKDD,18,random,random_n,5
NSLKDD,19,random,topn,5
NSLKDD,19,random,random_n,5
NSLKDD,20,random,topn,5
NSLKDD,20,random,random_n,5
NSLKDD,21,random,topn,4
NSLKDD,21,random,random_n,5
NSLKDD,22,random,topn,4
NSLKDD,22,random,random_n,5
NSLKDD,23,random,topn,1
NSLKDD,23,random,random_n,4
NSLKDD,24,random,topn,5
NSLKDD,24,random,random_n,5
NSLKDD,25,random,topn,5
NSLKDD,25,random,random_n,5
NSLKDD,26,random,topn,5
NSLKDD,26,random,random_n,4
NSLKDD,27,random,topn,5
NSLKDD,27,random,random_n,5
NSLKDD,28,random,topn,5
NSLKDD,28,random,random_n,5
NSLKDD,29,random,topn,5
NSLKDD,29,random,random_n,5
NSLKDD,30,random,topn,5
NSLKDD,30,random,random_n,5
NSLKDD,31,random,topn,5
NSLKDD,31,random,random_n,3
NSLKDD,32,random,topn,4
NSLKDD,32,random,random_n,5
NSLKDD,33,random,topn,5
NSLKDD,33,random,random_n,5
NSLKDD,34,random,topn,5
NSLKDD,34,random,random_n,5
NSLKDD,35,random,topn,5
NSLKDD,35,random,random_n,4
NSLKDD,36,random,topn,4
NSLKDD,36,random,random_n,5
NSLKDD,37,random,topn,5
NSLKDD,37,random,random_n,5
NSLKDD,38,random,topn,5
NSLKDD,38,random,random_n,5
NSLKDD,39,random,topn,4
NSLKDD,39,random,random_n,5
NSLKDD,40,random,topn,4
NSLKDD,40,random,random_n,5
NSLKDD,41,random,topn,5
NSLKDD,41,random,random_n,5
NSLKDD,42,random,topn,5
NSLKDD,42,random,random_n,5
NSLKDD,43,random,topn,5
NSLKDD,43,random,random_n,5
NSLKDD,44,random,topn,5
NSLKDD,44,random,random_n,4
NSLKDD,45,random,topn,5
NSLKDD,45,random,random_n,5
NSLKDD,46,random,topn,5
NSLKDD,46,random,random_n,4
NSLKDD,47,random,topn,5
NSLKDD,47,random,random_n,5
NSLKDD,48,random,topn,4
NSLKDD,48,random,random_n,5
NSLKDD,49,random,topn,5
NSLKDD,49,random,random_n,5
NSLKDD,0,label_affinity,topn,3
NSLKDD,0,label_affinity,random_n,5
NSLKDD,1,label_affinity,topn,5
NSLKDD,1,label_affinity,random_n,5
NSLKDD,2,label_affinity,topn,5
NSLKDD,2,label_affinity,random_n,4
NSLKDD,3,label_affinity,topn,5
NSLKDD,3,label_affinity,random_n,5
NSLKDD,4,label_affinity,topn,4
NSLKDD,4,label_affinity,random_n,5
NSLKDD,5,label_affinity,topn,4
NSLKDD,5,label_affinity,random_n,5
NSLKDD,6,label_affinity,topn,4
NSLKDD,6,label_affinity,random_n,5
NSLKDD,7,label_affinity,topn,3
NSLKDD,7,label_affinity,random_n,5
NSLKDD,8,label_affinity,topn,5
NSLKDD,8,label_affinity,random_n,5
NSLKDD,9,label_affinity,topn,5
NSLKDD,9,label_affinity,random_n,4
NSLKDD,10,label_affinity,topn,3
NSLKDD,10,label_affinity,random_n,5
NSLKDD,11,label_affinity,topn,5
NSLKDD,11,label_affinity,random_n,5
NSLKDD,12,label_affinity,topn,5
NSLKDD,12,label_affinity,random_n,5
NSLKDD,13,label_affinity,topn,5
NSLKDD,13,label_affinity,random_n,5
NSLKDD,14,label_affinity,topn,4
NSLKDD,14,label_affinity,random_n,5
NSLKDD,15,label_affinity,topn,4
NSLKDD,15,label_affinity,random_n,4
NSLKDD,16,label_affinity,topn,5
NSLKDD,16,label_affinity,random_n,5
NSLKDD,17,label_affinity,topn,5
NSLKDD,17,label_affinity,random_n,5
NSLKDD,18,label_affinity,topn,5
NSLKDD,18,label_affinity,random_n,5
NSLKDD,19,label_affinity,topn,5
NSLKDD,19,label_affinity,random_n,5
NSLKDD,20,label_affinity,topn,4
NSLKDD,20,label_affinity,random_n,5
NSLKDD,21,label_affinity,topn,5
NSLKDD,21,label_affinity,random_n,5
NSLKDD,22,label_affinity,topn,5
NSLKDD,22,label_affinity,random_n,5
NSLKDD,23,label_affinity,topn,4
NSLKDD,23,label_affinity,random_n,5
NSLKDD,24,label_affinity,topn,1
NSLKDD,24,label_affinity,random_n,5
NSLKDD,25,label_affinity,topn,5
NSLKDD,25,label_affinity,random_n,5
NSLKDD,26,label_affinity,topn,5
NSLKDD,26,label_affinity,random_n,5
NSLKDD,27,label_affinity,topn,5
NSLKDD,27,label_affinity,random_n,5
NSLKDD,28,label_affinity,topn,4
NSLKDD,28,label_affinity,random_n,5
NSLKDD,29,label_affinity,topn,5
NSLKDD,29,label_affinity,random_n,5
NSLKDD,30,label_affinity,topn,3
NSLKDD,30,label_affinity,random_n,5
NSLKDD,31,label_affinity,topn,5
NSLKDD,31,label_affinity,random_n,3
